Delimiters (│) should align. [WIDE+VS15+W/VS]
│─│═══════════════════
│⌚︎│ 0x231A+0xFE0E
│⌛︎│ 0x231B+0xFE0E
│⏩︎│ 0x23E9+0xFE0E
│⏪︎│ 0x23EA+0xFE0E
│⏫︎│ 0x23EB+0xFE0E
│⏬︎│ 0x23EC+0xFE0E
│⏰︎│ 0x23F0+0xFE0E
│⏳︎│ 0x23F3+0xFE0E
│◽︎│ 0x25FD+0xFE0E
│◾︎│ 0x25FE+0xFE0E
│☔︎│ 0x2614+0xFE0E
│☕︎│ 0x2615+0xFE0E
│♈︎│ 0x2648+0xFE0E
│♉︎│ 0x2649+0xFE0E
│♊︎│ 0x264A+0xFE0E
│♋︎│ 0x264B+0xFE0E
│♌︎│ 0x264C+0xFE0E
│♍︎│ 0x264D+0xFE0E
│♎︎│ 0x264E+0xFE0E
│♏︎│ 0x264F+0xFE0E
│♐︎│ 0x2650+0xFE0E
│♑︎│ 0x2651+0xFE0E
│♒︎│ 0x2652+0xFE0E
│♓︎│ 0x2653+0xFE0E
│♿︎│ 0x267F+0xFE0E
│⚓︎│ 0x2693+0xFE0E
│⚡︎│ 0x26A1+0xFE0E
│⚪︎│ 0x26AA+0xFE0E
│⚫︎│ 0x26AB+0xFE0E
│⚽︎│ 0x26BD+0xFE0E
│⚾︎│ 0x26BE+0xFE0E
│⛄︎│ 0x26C4+0xFE0E
│⛅︎│ 0x26C5+0xFE0E
│⛎︎│ 0x26CE+0xFE0E
│⛔︎│ 0x26D4+0xFE0E
│⛪︎│ 0x26EA+0xFE0E
│⛲︎│ 0x26F2+0xFE0E
│⛳︎│ 0x26F3+0xFE0E
│⛵︎│ 0x26F5+0xFE0E
│⛺︎│ 0x26FA+0xFE0E
│⛽︎│ 0x26FD+0xFE0E
│✅︎│ 0x2705+0xFE0E
│✊︎│ 0x270A+0xFE0E
│✋︎│ 0x270B+0xFE0E
│✨︎│ 0x2728+0xFE0E
│❌︎│ 0x274C+0xFE0E
│❎︎│ 0x274E+0xFE0E
│❓︎│ 0x2753+0xFE0E
│❔︎│ 0x2754+0xFE0E
│❕︎│ 0x2755+0xFE0E
│❗︎│ 0x2757+0xFE0E
│➕︎│ 0x2795+0xFE0E
│➖︎│ 0x2796+0xFE0E
│➗︎│ 0x2797+0xFE0E
│➰︎│ 0x27B0+0xFE0E
│➿︎│ 0x27BF+0xFE0E
│⬛︎│ 0x2B1B+0xFE0E
│⬜︎│ 0x2B1C+0xFE0E
│⭐︎│ 0x2B50+0xFE0E
│⭕︎│ 0x2B55+0xFE0E
│〰︎│ 0x3030+0xFE0E
│〽︎│ 0x303D+0xFE0E
│㊗︎│ 0x3297+0xFE0E
│㊙︎│ 0x3299+0xFE0E
│🀄︎│ 0x1F004+0xFE0E
│🈂︎│ 0x1F202+0xFE0E
│🈚︎│ 0x1F21A+0xFE0E
│🈯︎│ 0x1F22F+0xFE0E
│🈷︎│ 0x1F237+0xFE0E
│🌍︎│ 0x1F30D+0xFE0E
│🌎︎│ 0x1F30E+0xFE0E
│🌏︎│ 0x1F30F+0xFE0E
│🌕︎│ 0x1F315+0xFE0E
│🌜︎│ 0x1F31C+0xFE0E
│🍸︎│ 0x1F378+0xFE0E
│🎓︎│ 0x1F393+0xFE0E
│🎧︎│ 0x1F3A7+0xFE0E
│🎬︎│ 0x1F3AC+0xFE0E
│🎭︎│ 0x1F3AD+0xFE0E
│🎮︎│ 0x1F3AE+0xFE0E
│🏂︎│ 0x1F3C2+0xFE0E
│🏄︎│ 0x1F3C4+0xFE0E
│🏆︎│ 0x1F3C6+0xFE0E
│🏊︎│ 0x1F3CA+0xFE0E
│🏠︎│ 0x1F3E0+0xFE0E
│🏭︎│ 0x1F3ED+0xFE0E
│🐈︎│ 0x1F408+0xFE0E
│🐕︎│ 0x1F415+0xFE0E
│🐟︎│ 0x1F41F+0xFE0E
│🐦︎│ 0x1F426+0xFE0E
│👂︎│ 0x1F442+0xFE0E
│👆︎│ 0x1F446+0xFE0E
│👇︎│ 0x1F447+0xFE0E
│👈︎│ 0x1F448+0xFE0E
│👉︎│ 0x1F449+0xFE0E
│👍︎│ 0x1F44D+0xFE0E
│👎︎│ 0x1F44E+0xFE0E
│👓︎│ 0x1F453+0xFE0E
│👪︎│ 0x1F46A+0xFE0E
│👽︎│ 0x1F47D+0xFE0E
│💣︎│ 0x1F4A3+0xFE0E
│💰︎│ 0x1F4B0+0xFE0E
│💳︎│ 0x1F4B3+0xFE0E
│💻︎│ 0x1F4BB+0xFE0E
│💿︎│ 0x1F4BF+0xFE0E
│📋︎│ 0x1F4CB+0xFE0E
│📚︎│ 0x1F4DA+0xFE0E
│📟︎│ 0x1F4DF+0xFE0E
│📤︎│ 0x1F4E4+0xFE0E
│📥︎│ 0x1F4E5+0xFE0E
│📦︎│ 0x1F4E6+0xFE0E
│📪︎│ 0x1F4EA+0xFE0E
│📫︎│ 0x1F4EB+0xFE0E
│📬︎│ 0x1F4EC+0xFE0E
│📭︎│ 0x1F4ED+0xFE0E
│📷︎│ 0x1F4F7+0xFE0E
│📹︎│ 0x1F4F9+0xFE0E
│📺︎│ 0x1F4FA+0xFE0E
│📻︎│ 0x1F4FB+0xFE0E
│🔈︎│ 0x1F508+0xFE0E
│🔍︎│ 0x1F50D+0xFE0E
│🔒︎│ 0x1F512+0xFE0E
│🔓︎│ 0x1F513+0xFE0E
│🕐︎│ 0x1F550+0xFE0E
│🕑︎│ 0x1F551+0xFE0E
│🕒︎│ 0x1F552+0xFE0E
│🕓︎│ 0x1F553+0xFE0E
│🕔︎│ 0x1F554+0xFE0E
│🕕︎│ 0x1F555+0xFE0E
│🕖︎│ 0x1F556+0xFE0E
│🕗︎│ 0x1F557+0xFE0E
│🕘︎│ 0x1F558+0xFE0E
│🕙︎│ 0x1F559+0xFE0E
│🕚︎│ 0x1F55A+0xFE0E
│🕛︎│ 0x1F55B+0xFE0E
│🕜︎│ 0x1F55C+0xFE0E
│🕝︎│ 0x1F55D+0xFE0E
